1992 Krugerrand T Oz,98,,C:\Users\Jos\Pictures\1990 68355_Rev.jpg   ,81,,1990 68355_Rev.jpg   
1992 Krugerrand Q Oz,99,,C:\Users\Jos\Documents\#JPW\SAGC\Samples\1990\@COINS\1990 397264_110118163333_180111-10th-KR-H (Jos).jpg   ,81,,1990 397264_110118163333_180111-10th-KR-H (Jos).jpg   
1992 Krugerrand H Oz,100,,C:\Users\Jos\Documents\#JPW\SAGC\Samples\1990\@COINS\1990 397264_110118163508_180111-10th-KR-T (Jos).jpg   ,81,,1990 397264_110118163508_180111-10th-KR-T (Jos).jpg   
1992 Krugerrand 1 Oz,101,,C:\Users\Jos\Documents\#JPW\SAGC\Samples\1990\REP3 GRC PRF KRD Set\1988_&_1990_Oom_Paul_Struck_Krugerrand_Sets_web (Jos).jpg   ,82,,1988_&_1990_Oom_Paul_Struck_Krugerrand_Sets_web (Jos).jpg   
1992 Krugerrand Prestige Set,102,,C:\Users\Jos\Documents\#JPW\SAGC\Samples\1990\REP3 SHORT\1990 412691_110720173326_proof_sets_049 (Jos).jpg   ,83,,1990 412691_110720173326_proof_sets_049 (Jos).jpg   
1992 Olympic Games Silver R2,103,,C:\Users\Jos\Documents\#JPW\SAGC\Samples\1990\REP3 SHORT\1990 412691_110720173155_proof_sets_046 (Jos).jpg   ,83,,1990 412691_110720173155_proof_sets_046 (Jos).jpg   
1992 RSA Currency Proof Coin Set,104,,C:\Users\Jos\Documents\#JPW\SAGC\Samples\1991\COM SVR RND\1991 1099903_120619185548_Nurse (Jos).jpg   ,85,,1991 1099903_120619185548_Nurse (Jos).jpg   
1993,105,,C:\Users\Jos\Documents\#JPW\SAGC\Samples\1991\@COINS\1991 a1 (Jos).jpg   ,85,,1991 a1 (Jos).jpg   
1993 Protea Silver R1 - Banking,106,,C:\Users\Jos\Documents\#JPW\SAGC\Samples\1991\@COINS\1991 a2 (Jos).jpg   ,85,,1991 a2 (Jos).jpg   
1993 Protea Silver R2 ? Peace,107,,C:\Users\Jos\Pictures\1991 southafricaproteanursingtenthouncegoldinpresentationbox400.jpg   ,86,,1991 southafricaproteanursingtenthouncegoldinpresentationbox400.jpg   
1993 Protea T Oz - Banking,108,,C:\Users\Jos\Pictures\1991southafricaonetenthproteaafricannursingschoolsobv400.jpg   ,86,,1991southafricaonetenthproteaafricannursingschoolsobv400.jpg   
1993 Protea 1 Oz - Banking,109,,C:\Users\Jos\Pictures\1991southafricaonetenthproteaafricannursingschoolsrev400.jpg   ,86,,1991southafricaonetenthproteaafricannursingschoolsrev400.jpg   
1993 Protea GRC 1 Oz,110,,C:\Users\Jos\Documents\#JPW\SAGC\Samples\1991\@COINS\477799_111129144724_DSCN1256 (Jos).jpg   ,87,,477799_111129144724_DSCN1256 (Jos).jpg   
1993 Krugerrand T Oz,110,,C:\Users\Jos\Documents\#JPW\SAGC\Samples\1991\@COINS\477799_111129144805_DSCN1258 (Jos).jpg   ,87,,477799_111129144805_DSCN1258 (Jos).jpg   
1993 Krugerrand Q Oz,110,,C:\Users\Jos\Pictures\1991 49578_Obv.jpg   ,88,,1991 49578_Obv.jpg   
1993 Krugerrand H Oz,111,,C:\Users\Jos\Pictures\1991 49578_Rev.jpg   ,88,,1991 49578_Rev.jpg   
1993 Krugerrand 1 Oz,112,,C:\Users\Jos\Pictures\1991 34845_Obv.jpg   ,88,,1991 34845_Obv.jpg   
1993 Krugerrand Prestige Set,113,,C:\Users\Jos\Pictures\1991 34845_Rev.jpg   ,88,,1991 34845_Rev.jpg   
1993 RSA Currency Proof  Coin Set,114,,C:\Users\Jos\Pictures\1991 49578_Obv.jpg   ,89,,1991 49578_Obv.jpg   
1994,115,,C:\Users\Jos\Pictures\1991 49578_Rev.jpg   ,89,,1991 49578_Rev.jpg   
1994 Protea Silver R1,116,,C:\Users\Jos\Pictures\1991 34845_Obv.jpg   ,89,,1991 34845_Obv.jpg   
1994 Protea T Oz,117,,C:\Users\Jos\Pictures\1991 34845_Rev.jpg   ,89,,1991 34845_Rev.jpg   
1994 Protea 1 Oz,117,,"C:\Users\Jos\Documents\#JPW\SAGC\Samples\1991\REP3 KRD GRC SET\$(KGrHqZ,!gwE9T96KBrmBPnEPDpg!w~~60_3 (Jos).jpg   ",90,,"$(KGrHqZ,!gwE9T96KBrmBPnEPDpg!w~~60_3 (Jos).jpg   "
1994 Protea 1 Oz ?ZOO? - Conservation,117,,"C:\Users\Jos\Documents\#JPW\SAGC\Samples\1991\@COINS\$(KGrHqJ,!pQE9eQf9P+vBPnEQ-KChw~~60_3 a (Jos).jpg   ",90,,"$(KGrHqJ,!pQE9eQf9P+vBPnEQ-KChw~~60_3 a (Jos).jpg   "
1994 Protea Proof Set,118,,"C:\Users\Jos\Documents\#JPW\SAGC\Samples\1991\@COINS\$(KGrHqJ,!pQE9eQf9P+vBPnEQ-KChw~~60_3 b (Jos).jpg   ",90,,"$(KGrHqJ,!pQE9eQf9P+vBPnEQ-KChw~~60_3 b (Jos).jpg   "
1994 Protea Nickel Inauguration R5,119,,"C:\Users\Jos\Documents\#JPW\SAGC\Samples\1991\@COINS\$(KGrHqV,!nME9g(F02SzBPnER7D3N!~~60_3 a (Jos).jpg   ",90,,"$(KGrHqV,!nME9g(F02SzBPnER7D3N!~~60_3 a (Jos).jpg   "
1994 Protea Inauguration Silver R1,120,,"C:\Users\Jos\Documents\#JPW\SAGC\Samples\1991\@COINS\$(KGrHqV,!nME9g(F02SzBPnER7D3N!~~60_3 b (Jos).jpg   ",90,,"$(KGrHqV,!nME9g(F02SzBPnER7D3N!~~60_3 b (Jos).jpg   "
1994 Protea Inauguration 1 Oz,121,,"C:\Users\Jos\Documents\#JPW\SAGC\Samples\1991\REP3 KRD GRC SET\$(KGrHqN,!l8E8Vlnsv2qBPnEQ!Ik!w~~60_3 (Jos).jpg   ",90,,"$(KGrHqN,!l8E8Vlnsv2qBPnEQ!Ik!w~~60_3 (Jos).jpg   "
1994 Natura T Oz,122,,C:\Users\Jos\Documents\#JPW\SAGC\Samples\1991\REP3 SHORT\2196582_120126205829_SDC15039 (Jos).jpg   ,91,,2196582_120126205829_SDC15039 (Jos).jpg   
1994 Natura Q Oz,123,,C:\Users\Jos\Documents\#JPW\SAGC\Samples\1992\COM SVR RND\1992 366193_111212154300_CC2184b (Jos).jpg   ,93,,1992 366193_111212154300_CC2184b (Jos).jpg   
1994 Natura H Oz,123,,C:\Users\Jos\Documents\#JPW\SAGC\Samples\1992\@COINS\532225_120523101249_IMG_0421 (Jos).jpg   ,93,,532225_120523101249_IMG_0421 (Jos).jpg   
1994 Natura 1 Oz,124,,C:\Users\Jos\Documents\#JPW\SAGC\Samples\1992\@COINS\532225_120523101230_IMG_0422 (Jos).jpg   ,93,,532225_120523101230_IMG_0422 (Jos).jpg   
1994 Natura 1 Oz ? Launch ?PTA ZOO ?,125,,C:\Users\Jos\Documents\#JPW\SAGC\Samples\1992\COM SVR R2\R2Coinage (Jos).jpg   ,94,,R2Coinage (Jos).jpg   
1994 Natura Proof Set,126,,C:\Users\Jos\Documents\#JPW\SAGC\Samples\1992\@COINS\389297_110920140942_ZAR_1898_penny_045 (Jos).jpg   ,94,,389297_110920140942_ZAR_1898_penny_045 (Jos).jpg   
1994 Natura Prestige Set,127,,C:\Users\Jos\Documents\#JPW\SAGC\Samples\1992\@COINS\389297_110920140831_ZAR_1898_penny_047 (Jos).jpg   ,94,,389297_110920140831_ZAR_1898_penny_047 (Jos).jpg   
1994 Krugerrand T Oz,128,,C:\Users\Administrator\Documents\#JPW\SAGC\Samples\1992\COM PRF PROT TOz\1992 Protea T Oz a.jpg   ,95,,1992 Protea T Oz a.jpg   
1994 Krugerrand Q Oz,129,,C:\Users\Jos\Documents\#JPW\SAGC\Samples\1992\@COINS\477799_111129125840_DSCN1248 (Jos).jpg   ,95,,477799_111129125840_DSCN1248 (Jos).jpg   
1994 Krugerrand H Oz,130,,C:\Users\Jos\Documents\#JPW\SAGC\Samples\1992\@COINS\477799_111129130007_DSCN1252 (Jos).jpg   ,95,,477799_111129130007_DSCN1252 (Jos).jpg   
